"year","mun","cpro","pro","cmun","name","total","men","women"
"2010","03014","03","Alicante/Alacant","014","Alicante/Alacant","334418","162467","171951"
"2010","07040","07","Balears (Illes)","040","Palma","404681","198840","205841"
"2010","18087","18","Granada","087","Granada","239154","111042","128112"
"2010","35016","35","Palmas (Las)","016","Palmas de Gran Canaria (Las)","383308","186942","196366"
"2010","48020","48","Vizcaya","020","Bilbao","353187","167019","186168"
