"year","mun","cpro","pro","cmun","name","total","men","women"
"2001","03014","03","Alicante/Alacant","014","Alicante/Alacant","283243","136055","147188"
"2001","07040","07","Balears (Illes)","040","Palma de Mallorca","346720","169601","177119"
"2001","18087","18","Granada","087","Granada","243341","113274","130067"
"2001","35016","35","Palmas (Las)","016","Palmas de Gran Canaria (Las)","364777","178582","186195"
"2001","48020","48","Vizcaya","020","Bilbao","353943","167669","186274"
