"year","mun","cpro","pro","cmun","name","total","men","women"
"2008","03014","03","Alicante/Alacant","014","Alicante/Alacant","331750","161602","170148"
"2008","07040","07","Balears (Illes)","040","Palma de Mallorca","396570","195026","201544"
"2008","18087","18","Granada","087","Granada","236988","110191","126797"
"2008","35016","35","Palmas (Las)","016","Palmas de Gran Canaria (Las)","381123","185770","195353"
"2008","48020","48","Vizcaya","020","Bilbao","353340","167030","186310"
