"year","mun","cpro","pro","cmun","name","total","men","women"
"2013","03014","03","Alicante/Alacant","014","Alicante/Alacant","335052","162869","172183"
"2013","07040","07","Balears, Illes","040","Palma de Mallorca","398162","194123","204039"
"2013","18087","18","Granada","087","Granada","237818","110644","127174"
"2013","35016","35","Palmas, Las","016","Palmas de Gran Canaria, Las","383050","186335","196715"
"2013","48020","48","Bizkaia","020","Bilbao","349356","164941","184415"
