"year","mun","cpro","pro","cmun","name","total","men","women"
"2007","03014","03","Alicante/Alacant","014","Alicante/Alacant","322673","156874","165799"
"2007","07040","07","Balears (Illes)","040","Palma de Mallorca","383107","187750","195357"
"2007","18087","18","Granada","087","Granada","236207","109825","126382"
"2007","35016","35","Palmas (Las)","016","Palmas de Gran Canaria (Las)","377203","184059","193144"
"2007","48020","48","Vizcaya","020","Bilbao","353168","166799","186369"
