"year","mun","cpro","pro","cmun","name","total","men","women"
"1999","03014","03","Alicante/Alacant","014","Alicante/Alacant","272432","130607","141825"
"1999","07040","07","Balears (Illes)","040","Palma de Mallorca","326993","158965","168028"
"1999","18087","18","Granada","087","Granada","244767","114078","130689"
"1999","35016","35","Palmas (Las)","016","Palmas de Gran Canaria (Las)","354757","173266","181491"
"1999","48020","48","Vizcaya","020","Bilbao","357589","169755","187834"
