"year","mun","cpro","pro","cmun","name","total","men","women"
"2019","03014","03","Alicante/Alacant","014","Alicante/Alacant","334887","162191","172696"
"2019","07040","07","Balears, Illes","040","Palma","416065","203195","212870"
"2019","18087","18","Granada","087","Granada","232462","107555","124907"
"2019","35016","35","Palmas, Las","016","Palmas de Gran Canaria, Las","379925","183417","196508"
"2019","48020","48","Bizkaia","020","Bilbao","346843","163563","183280"
