"year","mun","cpro","pro","cmun","name","total","men","women"
"2021","03014","03","Alicante/Alacant","014","Alicante/Alacant","337304","163052","174252"
"2021","07040","07","Balears, Illes","040","Palma","419366","205249","214117"
"2021","18087","18","Granada","087","Granada","231775","106987","124788"
"2021","35016","35","Palmas, Las","016","Palmas de Gran Canaria, Las","378675","182571","196104"
"2021","48020","48","Bizkaia","020","Bilbao","346405","163802","182603"
