"year","mun","cpro","pro","cmun","name","total","men","women"
"2012","03014","03","Alicante/Alacant","014","Alicante/Alacant","334678","162536","172142"
"2012","07040","07","Balears, Illes","040","Palma","407648","199491","208157"
"2012","18087","18","Granada","087","Granada","239017","111133","127884"
"2012","35016","35","Palmas, Las","016","Palmas de Gran Canaria, Las","382296","186030","196266"
"2012","48020","48","Bizkaia","020","Bilbao","351629","166246","185383"
