"year","mun","cpro","pro","cmun","name","total","men","women"
"2000","03014","03","Alicante/Alacant","014","Alicante/Alacant","276886","132771","144115"
"2000","07040","07","Balears (Illes)","040","Palma de Mallorca","333925","162727","171198"
"2000","18087","18","Granada","087","Granada","244486","113780","130706"
"2000","35016","35","Palmas (Las)","016","Palmas de Gran Canaria (Las)","358518","175221","183297"
"2000","48020","48","Vizcaya","020","Bilbao","354271","167846","186425"
