"year","mun","cpro","pro","cmun","name","total","men","women"
"2002","03014","03","Alicante/Alacant","014","Alicante/Alacant","293629","141607","152022"
"2002","07040","07","Balears (Illes)","040","Palma de Mallorca","358462","175992","182470"
"2002","18087","18","Granada","087","Granada","240522","111774","128748"
"2002","35016","35","Palmas (Las)","016","Palmas de Gran Canaria (Las)","370649","181581","189068"
"2002","48020","48","Vizcaya","020","Bilbao","353950","167662","186288"
