"year","mun","cpro","pro","cmun","name","total","men","women"
"2009","03014","03","Alicante/Alacant","014","Alicante/Alacant","334757","162853","171904"
"2009","07040","07","Balears (Illes)","040","Palma","401270","197436","203834"
"2009","18087","18","Granada","087","Granada","234325","108745","125580"
"2009","35016","35","Palmas (Las)","016","Palmas de Gran Canaria (Las)","381847","186191","195656"
"2009","48020","48","Vizcaya","020","Bilbao","354860","168019","186841"
