"Year","WEEK","Week Ending Date","REGION","State","City","Pneumonia and Influenza Deaths","All Deaths","<1 year (all cause deaths)","1-24 years (all cause deaths)","25-44 years","45-64 years (all cause deaths)","65+ years (all cause deaths)"
"1974","19","05/11/1974","2","NJ","Jersey City","0","43","0","0","2","10","31"
"1974","22","06/01/1974","3","OH","Dayton","1","81","5","2","5","25","44"
"1974","40","10/05/1974","2","NY","Buffalo","14","163","5","3","7","50","98"
"1974","49","12/07/1974","5","FL","Tampa","10","81","3","6","5","27","40"
"1975","1","01/04/1975","6","TN","Memphis","1","123","0","2","8","35","78"
"1975","3","01/18/1975","2","NY","Buffalo","6","150","8","3","8","36","95"
"1975","12","03/22/1975","2","NJ","Jersey City","1","63","3","2","5","7","46"
"1975","15","04/12/1975","9","CA","Glendale","1","28","0","0","0","2","26"
"1975","24","06/14/1975","2","NJ","Jersey City","1","48","1","3","2","10","32"
"1975","24","06/14/1975","7","OK","Tulsa","3","75","3","6","6","14","46"
"1975","26","06/28/1975","3","MI","Detroit","3","288","13","18","27","80","150"
"1975","31","08/02/1975","1","RI","Providence","4","49","1","1","3","13","31"
"1975","32","08/09/1975","3","OH","Toledo","0","101","1","4","5","26","65"
"1975","37","09/13/1975","9","CA","San Jose","0","36","1","3","4","8","20"
"1976","13","04/03/1976","3","OH","Columbus","4","130","3","5","19","26","77"
"1976","47","11/27/1976","8","NV","Las Vegas","2","23","2","0","2","11","8"
"1976","48","12/04/1976","9","CA","Fresno","1","67","5","2","4","16","40"
"1977","6","02/12/1977","2","NY","Albany","2","40","2","1","5","11","21"
"1977","19","05/14/1977","4","IA","Des Moines","1","57","4","1","1","12","39"
"1977","21","05/28/1977","4","MN","Saint Paul","1","83","3","3","2","13","62"
"1977","21","05/28/1977","6","TN","Memphis","1","158","7","6","7","51","87"
"1977","26","07/02/1977","9","CA","Berkeley","0","19","1","0","0","2","16"
"1977","28","07/16/1977","1","MA","Cambridge","3","30","0","1","1","11","17"
"1977","32","08/13/1977","6","TN","Nashville","4","117","3","6","5","31","72"
"1977","34","08/27/1977","3","IL","Peoria","1","42","5","1","1","11","24"
"1977","39","10/01/1977","7","OK","Tulsa","7","72","3","2","6","18","43"
"1977","41","10/15/1977","8","NV","Las Vegas","0","23","2","0","3","8","10"
"1978","3","01/21/1978","9","CA","San Francisco","1","153","6","5","12","31","99"
"1978","9","03/04/1978","8","UT","Salt Lake City","1","54","2","3","1","12","36"
"1978","12","03/25/1978","3","IN","Indianapolis","2","134","6","5","6","37","80"
"1978","16","04/22/1978","1","CT","Hartford","2","60","0","2","2","19","37"
